Category,ID,Description,Count,Percentage,p.adjust
BP,GO:0045785,positive regulation of cell adhesion,35,5.177514792899409,0.0051008637647836155
BP,GO:0016032,viral process,32,4.733727810650888,0.0053756962056491515
BP,GO:0008406,gonad development,21,3.106508875739645,0.005421789990761612
BP,GO:0040013,negative regulation of locomotion,32,4.733727810650888,0.005475556183998678
BP,GO:0071357,cellular response to type I interferon,11,1.6272189349112427,0.005790690614847256
BP,GO:0050920,regulation of chemotaxis,21,3.106508875739645,0.005885412253185683
BP,GO:0045089,positive regulation of innate immune response,25,3.698224852071006,0.005885412253185683
BP,GO:0002718,regulation of cytokine production involved in immune response,14,2.0710059171597637,0.005885412253185683
BP,GO:0061387,regulation of extent of cell growth,13,1.9230769230769231,0.006032867861355514
BP,GO:0010720,positive regulation of cell development,32,4.733727810650888,0.0063204356633026594
BP,GO:0002367,cytokine production involved in immune response,14,2.0710059171597637,0.0068063805436678355
BP,GO:0043410,positive regulation of MAPK cascade,35,5.177514792899409,0.007512757593336018
BP,GO:0002695,negative regulation of leukocyte activation,19,2.8106508875739644,0.007787257816542771
BP,GO:0097237,cellular response to toxic substance,14,2.0710059171597637,0.008556799290655762
BP,GO:0002832,negative regulation of response to biotic stimulus,14,2.0710059171597637,0.009082351427947293
BP,GO:0048015,phosphatidylinositol-mediated signaling,17,2.514792899408284,0.009082351427947293
BP,GO:0070664,negative regulation of leukocyte proliferation,12,1.7751479289940828,0.009082351427947293
BP,GO:0048841,regulation of axon extension involved in axon guidance,7,1.0355029585798818,0.009082351427947293
BP,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,25,3.698224852071006,0.009082351427947293
BP,GO:0009636,response to toxic substance,21,3.106508875739645,0.01027895457895841
BP,GO:0050866,negative regulation of cell activation,20,2.9585798816568047,0.010384753597991358
BP,GO:0048017,inositol lipid-mediated signaling,17,2.514792899408284,0.01132229900655391
BP,GO:0051963,regulation of synapse assembly,13,1.9230769230769231,0.011934233672165668
BP,GO:0022407,regulation of cell-cell adhesion,34,5.029585798816568,0.0119994795841423
BP,GO:0050919,negative chemotaxis,8,1.183431952662722,0.0119994795841423
BP,GO:0010975,regulation of neuron projection development,32,4.733727810650888,0.012077729680250763
BP,GO:0030101,natural killer cell activation,12,1.7751479289940828,0.012077729680250763
BP,GO:0140888,interferon-mediated signaling pathway,12,1.7751479289940828,0.012077729680250763
BP,GO:0035710,"CD4-positive, alpha-beta T cell activation",13,1.9230769230769231,0.012273699346849522
BP,GO:0050868,negative regulation of T cell activation,14,2.0710059171597637,0.012923546669195745
BP,GO:0031348,negative regulation of defense response,23,3.4023668639053253,0.012923546669195745
BP,GO:0002253,activation of immune response,34,5.029585798816568,0.012923546669195745
BP,GO:0006953,acute-phase response,8,1.183431952662722,0.012923546669195745
BP,GO:0007416,synapse assembly,18,2.6627218934911245,0.013329510118522986
BP,GO:0070663,regulation of leukocyte proliferation,22,3.2544378698224854,0.013888292045436174
BP,GO:0050672,negative regulation of lymphocyte proliferation,11,1.6272189349112427,0.013990699859590996
BP,GO:0035455,response to interferon-alpha,5,0.7396449704142012,0.014673673635645168
BP,GO:0009743,response to carbohydrate,20,2.9585798816568047,0.014673673635645168
BP,GO:0032945,negative regulation of mononuclear cell proliferation,11,1.6272189349112427,0.014673673635645168
BP,GO:0031644,regulation of nervous system process,15,2.2189349112426036,0.014673673635645168
BP,GO:1903038,negative regulation of leukocyte cell-cell adhesion,15,2.2189349112426036,0.014673673635645168
BP,GO:0042129,regulation of T cell proliferation,17,2.514792899408284,0.014673673635645168
BP,GO:0032728,positive regulation of interferon-beta production,7,1.0355029585798818,0.014673673635645168
BP,GO:0048846,axon extension involved in axon guidance,7,1.0355029585798818,0.014673673635645168
BP,GO:1902284,neuron projection extension involved in neuron projection guidance,7,1.0355029585798818,0.014673673635645168
BP,GO:0050772,positive regulation of axonogenesis,10,1.4792899408284024,0.015505960446897067
BP,GO:0060337,type I interferon-mediated signaling pathway,10,1.4792899408284024,0.015505960446897067
BP,GO:0034329,cell junction assembly,31,4.5857988165680474,0.015581774178881583
BP,GO:0048843,negative regulation of axon extension involved in axon guidance,6,0.8875739644970414,0.015581774178881583
BP,GO:0044000,movement in host,17,2.514792899408284,0.015581774178881583
BP,GO:0045766,positive regulation of angiogenesis,17,2.514792899408284,0.015581774178881583
BP,GO:1904018,positive regulation of vasculature development,17,2.514792899408284,0.015581774178881583
BP,GO:2000514,"regulation of CD4-positive, alpha-beta T cell activation",10,1.4792899408284024,0.01644874372261199
BP,GO:0039530,MDA-5 signaling pathway,4,0.591715976331361,0.016600873384643777
BP,GO:0045927,positive regulation of growth,21,3.106508875739645,0.0178211119059318
BP,GO:0002819,regulation of adaptive immune response,18,2.6627218934911245,0.017955144734892688
BP,GO:0033674,positive regulation of kinase activity,30,4.437869822485207,0.018165979153647066
BP,GO:0042092,type 2 immune response,7,1.0355029585798818,0.018381207612876784
BP,GO:0051701,biological process involved in interaction with host,18,2.6627218934911245,0.018602551915178896
BP,GO:0090066,regulation of anatomical structure size,33,4.881656804733728,0.0191035437263203
BP,GO:0042744,hydrogen peroxide catabolic process,6,0.8875739644970414,0.021458139251283696
BP,GO:0050863,regulation of T cell activation,27,3.9940828402366866,0.022070548304442366
BP,GO:0050878,regulation of body fluid levels,26,3.8461538461538463,0.025202813350442135
BP,GO:0008584,male gonad development,14,2.0710059171597637,0.02564163816827337
BP,GO:0002709,regulation of T cell mediated immunity,11,1.6272189349112427,0.025741149024124225
BP,GO:0042098,T cell proliferation,18,2.6627218934911245,0.026192075264554464
BP,GO:0046546,development of primary male sexual characteristics,14,2.0710059171597637,0.026881853913613155
BP,GO:2000027,regulation of animal organ morphogenesis,13,1.9230769230769231,0.027091842418150946
BP,GO:0050954,sensory perception of mechanical stimulus,16,2.366863905325444,0.027091842418150946
BP,GO:0009612,response to mechanical stimulus,18,2.6627218934911245,0.02838835265690742
BP,GO:0007435,salivary gland morphogenesis,6,0.8875739644970414,0.028670139221311376
BP,GO:0032722,positive regulation of chemokine production,9,1.3313609467455623,0.028670139221311376
BP,GO:0050922,negative regulation of chemotaxis,9,1.3313609467455623,0.028670139221311376
BP,GO:0050807,regulation of synapse organization,19,2.8106508875739644,0.028670139221311376
BP,GO:0060670,branching involved in labyrinthine layer morphogenesis,4,0.591715976331361,0.028670139221311376
BP,GO:0071526,semaphorin-plexin signaling pathway,7,1.0355029585798818,0.028670139221311376
BP,GO:1990748,cellular detoxification,12,1.7751479289940828,0.028670139221311376
BP,GO:0002223,stimulatory C-type lectin receptor signaling pathway,5,0.7396449704142012,0.028670139221311376
BP,GO:0030449,regulation of complement activation,5,0.7396449704142012,0.028670139221311376
BP,GO:0032069,regulation of nuclease activity,5,0.7396449704142012,0.028670139221311376
BP,GO:0046597,negative regulation of viral entry into host cell,5,0.7396449704142012,0.028670139221311376
BP,GO:1990840,response to lectin,5,0.7396449704142012,0.028670139221311376
BP,GO:1990858,cellular response to lectin,5,0.7396449704142012,0.028670139221311376
BP,GO:0002828,regulation of type 2 immune response,6,0.8875739644970414,0.03124566737563994
BP,GO:0007162,negative regulation of cell adhesion,23,3.4023668639053253,0.03144128478474626
BP,GO:0031295,T cell costimulation,7,1.0355029585798818,0.03144128478474626
BP,GO:1900744,regulation of p38MAPK cascade,7,1.0355029585798818,0.03144128478474626
BP,GO:1900046,regulation of hemostasis,9,1.3313609467455623,0.03260262782876296
BP,GO:0031346,positive regulation of cell projection organization,25,3.698224852071006,0.0336917841420433
BP,GO:0050900,leukocyte migration,27,3.9940828402366866,0.03378998571660079
BP,GO:0046661,male sex differentiation,15,2.2189349112426036,0.03378998571660079
BP,GO:0051250,negative regulation of lymphocyte activation,15,2.2189349112426036,0.03378998571660079
BP,GO:0016525,negative regulation of angiogenesis,14,2.0710059171597637,0.03378998571660079
BP,GO:0007431,salivary gland development,6,0.8875739644970414,0.03443467474619357
BP,GO:0050803,regulation of synapse structure or activity,19,2.8106508875739644,0.03443467474619357
BP,GO:0007159,leukocyte cell-cell adhesion,28,4.142011834319527,0.03513693253591454
BP,GO:0048675,axon extension,12,1.7751479289940828,0.03513693253591454
BP,GO:0048864,stem cell development,10,1.4792899408284024,0.03513693253591454
BP,GO:0008217,regulation of blood pressure,16,2.366863905325444,0.03568710912803411
BP,GO:0022408,negative regulation of cell-cell adhesion,17,2.514792899408284,0.03588802717640062
BP,GO:2000181,negative regulation of blood vessel morphogenesis,14,2.0710059171597637,0.03661349870555394
BP,GO:0090497,mesenchymal cell migration,8,1.183431952662722,0.0366350722079635
BP,GO:0061138,morphogenesis of a branching epithelium,16,2.366863905325444,0.03685947752862383
BP,GO:0002920,regulation of humoral immune response,7,1.0355029585798818,0.03685947752862383
BP,GO:0031294,lymphocyte costimulation,7,1.0355029585798818,0.03685947752862383
BP,GO:1903037,regulation of leukocyte cell-cell adhesion,26,3.8461538461538463,0.037332104269024155
BP,GO:1901343,negative regulation of vasculature development,14,2.0710059171597637,0.037656512308537574
BP,GO:0035458,cellular response to interferon-beta,5,0.7396449704142012,0.037656512308537574
BP,GO:0042063,gliogenesis,23,3.4023668639053253,0.038269241059108235
BP,GO:0042698,ovulation cycle,9,1.3313609467455623,0.038269241059108235
BP,GO:0045669,positive regulation of osteoblast differentiation,9,1.3313609467455623,0.038269241059108235
BP,GO:1990138,neuron projection extension,15,2.2189349112426036,0.038269241059108235
BP,GO:0030516,regulation of axon extension,10,1.4792899408284024,0.038269241059108235
BP,GO:1905517,macrophage migration,8,1.183431952662722,0.038269241059108235
BP,GO:1901890,positive regulation of cell junction assembly,11,1.6272189349112427,0.03902118112397372
BP,GO:0002673,regulation of acute inflammatory response,7,1.0355029585798818,0.03902118112397372
BP,GO:0046596,regulation of viral entry into host cell,7,1.0355029585798818,0.03902118112397372
BP,GO:0060976,coronary vasculature development,7,1.0355029585798818,0.03902118112397372
BP,GO:0002758,innate immune response-activating signaling pathway,17,2.514792899408284,0.03978077142619834
BP,GO:0007605,sensory perception of sound,14,2.0710059171597637,0.03978077142619834
BP,GO:0003018,vascular process in circulatory system,20,2.9585798816568047,0.04015815776663316
BP,GO:0022612,gland morphogenesis,12,1.7751479289940828,0.04064320009077118
BP,GO:0032481,positive regulation of type I interferon production,8,1.183431952662722,0.04064320009077118
BP,GO:0003148,outflow tract septum morphogenesis,5,0.7396449704142012,0.04202579857453021
BP,GO:0046631,alpha-beta T cell activation,15,2.2189349112426036,0.04259612719866246
BP,GO:0032872,regulation of stress-activated MAPK cascade,16,2.366863905325444,0.042660444983494895
BP,GO:0048839,inner ear development,16,2.366863905325444,0.042660444983494895
BP,GO:0032496,response to lipopolysaccharide,24,3.5502958579881656,0.04293948234960341
BP,GO:0051965,positive regulation of synapse assembly,8,1.183431952662722,0.04357108821420968
BP,GO:0070542,response to fatty acid,8,1.183431952662722,0.04357108821420968
BP,GO:0002237,response to molecule of bacterial origin,25,3.698224852071006,0.043881442676199825
BP,GO:0045860,positive regulation of protein kinase activity,25,3.698224852071006,0.043881442676199825
BP,GO:0070306,lens fiber cell differentiation,6,0.8875739644970414,0.044316166422833245
BP,GO:0048588,developmental cell growth,18,2.6627218934911245,0.044316166422833245
BP,GO:0070661,leukocyte proliferation,24,3.5502958579881656,0.04627429624018309
BP,GO:0001503,ossification,28,4.142011834319527,0.04627429624018309
BP,GO:0002764,immune response-regulating signaling pathway,29,4.289940828402367,0.04627429624018309
BP,GO:0045216,cell-cell junction organization,17,2.514792899408284,0.04627429624018309
BP,GO:1901888,regulation of cell junction assembly,17,2.514792899408284,0.04627429624018309
BP,GO:0033135,regulation of peptidyl-serine phosphorylation,13,1.9230769230769231,0.04627429624018309
BP,GO:0140374,antiviral innate immune response,5,0.7396449704142012,0.04627429624018309
BP,GO:1903901,negative regulation of viral life cycle,5,0.7396449704142012,0.04627429624018309
BP,GO:0070302,regulation of stress-activated protein kinase signaling cascade,16,2.366863905325444,0.04627429624018309
BP,GO:0002218,activation of innate immune response,18,2.6627218934911245,0.046487777283395
BP,GO:0060841,venous blood vessel development,4,0.591715976331361,0.04659087714487645
BP,GO:0001822,kidney development,22,3.2544378698224854,0.04682777236487508
BP,GO:2000146,negative regulation of cell motility,26,3.8461538461538463,0.04701859206975553
BP,GO:0018108,peptidyl-tyrosine phosphorylation,25,3.698224852071006,0.04714112760833031
BP,GO:0098754,detoxification,13,1.9230769230769231,0.047414693197641744
BP,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,18,2.6627218934911245,0.047414693197641744
BP,GO:0010001,glial cell differentiation,18,2.6627218934911245,0.049442899039352214
BP,GO:0002720,positive regulation of cytokine production involved in immune response,9,1.3313609467455623,0.049457950339278724
BP,GO:0018212,peptidyl-tyrosine modification,25,3.698224852071006,0.04954071046070775
MF,GO:0030246,carbohydrate binding,30,4.405286343612335,8.355449116142159e-5
MF,GO:0140375,immune receptor activity,20,2.936857562408223,9.712853637008334e-5
MF,GO:0008201,heparin binding,21,3.0837004405286343,2.790516694644472e-4
MF,GO:0042287,MHC protein binding,10,1.4684287812041115,4.2832986059896505e-4
MF,GO:0005539,glycosaminoglycan binding,24,3.524229074889868,8.861311828653313e-4
MF,GO:0052740,1-acyl-2-lysophosphatidylserine acylhydrolase activity,5,0.7342143906020557,0.0018443985194655204
MF,GO:0052739,phosphatidylserine 1-acylhydrolase activity,5,0.7342143906020557,0.0026564812755635035
MF,GO:0050840,extracellular matrix binding,10,1.4684287812041115,0.0026564812755635035
MF,GO:0043395,heparan sulfate proteoglycan binding,6,0.881057268722467,0.0026564812755635035
MF,GO:0043394,proteoglycan binding,8,1.1747430249632893,0.0030653293321087176
MF,GO:0005178,integrin binding,17,2.4963289280469896,0.0031049757310907173
MF,GO:1901681,sulfur compound binding,24,3.524229074889868,0.004236987116104691
MF,GO:0030215,semaphorin receptor binding,6,0.881057268722467,0.00853415737760687
MF,GO:0048018,receptor ligand activity,35,5.139500734214391,0.011245960989623216
MF,GO:0038024,cargo receptor activity,11,1.6152716593245229,0.011245960989623216
MF,GO:0016298,lipase activity,14,2.0558002936857562,0.011245960989623216
MF,GO:0019955,cytokine binding,14,2.0558002936857562,0.01466126695615011
MF,GO:0008970,phospholipase A1 activity,5,0.7342143906020557,0.016322570631568573
MF,GO:0004620,phospholipase activity,12,1.762114537444934,0.01767676270464149
MF,GO:0045499,chemorepellent activity,6,0.881057268722467,0.01767676270464149
MF,GO:0004896,cytokine receptor activity,11,1.6152716593245229,0.020558978941095412
MF,GO:0005245,voltage-gated calcium channel activity,8,1.1747430249632893,0.020558978941095412
MF,GO:0004175,endopeptidase activity,30,4.405286343612335,0.021667423294716
MF,GO:0042277,peptide binding,24,3.524229074889868,0.024349688229140097
MF,GO:0004601,peroxidase activity,8,1.1747430249632893,0.026554511229779722
MF,GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",8,1.1747430249632893,0.032475815408646816
MF,GO:0004622,lysophospholipase activity,5,0.7342143906020557,0.04489670001398493
MF,GO:0005044,scavenger receptor activity,7,1.0279001468428781,0.04855714094885165
CC,GO:0009897,external side of plasma membrane,43,6.1253561253561255,3.5406587706650714e-7
CC,GO:0062023,collagen-containing extracellular matrix,42,5.982905982905983,3.5406587706650714e-7
CC,GO:0098802,plasma membrane signaling receptor complex,29,4.131054131054131,6.998351992243715e-4
CC,GO:0005788,endoplasmic reticulum lumen,27,3.8461538461538463,0.0026757410498537753
CC,GO:0042101,T cell receptor complex,16,2.2792022792022792,0.006883024222886882
CC,GO:0005604,basement membrane,11,1.566951566951567,0.012347270073803474
CC,GO:0072562,blood microparticle,15,2.1367521367521367,0.012347270073803474
CC,GO:0044853,plasma membrane raft,13,1.8518518518518516,0.012347270073803474
CC,GO:1990454,L-type voltage-gated calcium channel complex,4,0.5698005698005698,0.03085708867071763
